type,pos,headword,freq,range
adversely,,,2,1
adversity,,,4,1
advertise,,,4,1
advertised,,,2,1
advertisement,,,4,1
advertisements,,,4,1
advertising,,,32,1
advice,,,9,1
advil,,,2,1
advisable,,,2,1
advise,,,4,1
advised,,,14,1
advises,,,6,1
advising,,,2,1
advisor,,,34,1
advisors,,,14,1
advisory,,,78,1
advocacy,,,6,1
advocate,,,16,1
advocated,,,4,1
advocates,,,16,1
advocating,,,6,1
aerial,,,6,1
aerobic,,,2,1
aerobics,,,2,1
aeronautics,,,2,1
aerosol,,,6,1
aerospace,,,4,1
aerostar,,,2,1
aeschylus,,,2,1
aesthetic,,,4,1
aesthetics,,,2,1
af,,,2,1
afar,,,2,1
afb,,,2,1
affair,,,32,1
affairs,,,26,1
affect,,,60,1
affected,,,38,1
affecting,,,14,1
affection,,,4,1
affects,,,14,1
affholter,,,9,1
affidavits,,,2,1
affiliate,,,6,1
affiliated,,,16,1
affiliation,,,24,1
affirm,,,2,1
affirmative,,,6,1
affirming,,,6,1
affirms,,,2,1
afflict,,,2,1
afflictions,,,2,1
afford,,,60,1
affordable,,,32,1
afforded,,,6,1
afghan,,,6,1
afghanistan,,,6,1
afghans,,,6,1
afl,,,6,1
afoot,,,4,1
afraid,,,42,1
africa,,,10,1
african,,,20,1
after,,,1189,1
aftermath,,,2,1
afternoon,,,163,1
afternoons,,,6,1
aftershock,,,2,1
afterwards,,,5,1
ag,,,38,1
again,,,709,1
against,,,696,1
age,,,308,1
aged,,,24,1
agencies,,,103,1
agency,,,128,1
agenda,,,168,1
agendas,,,8,1
agent,,,17,1
agents,,,22,1
agers,,,16,1
ages,,,124,1
ageswith,,,2,1
aggregate,,,4,1
aggressive,,,22,1
aggressively,,,4,1
agile,,,2,1
agility,,,10,1
aging,,,22,1
ago,,,335,1
agony,,,2,1
agree,,,80,1
agreeable,,,2,1
agreed,,,172,1
agreeing,,,8,1
agreement,,,223,1
agreementan,,,2,1
agreements,,,12,1
agreementthe,,,2,1
agrees,,,30,1
agri,,,8,1
agricultural,,,76,1
agriculture,,,214,1
agtivists,,,4,1
aguayo,,,2,1
aguiar,,,4,1
aguirre,,,18,1
agusta,,,2,1
agustin,,,10,1
ahead,,,122,1
ahg,,,2,1
ahold,,,10,1
ahs,,,142,1
ahtanum,,,16,1
ahuisculco,,,2,1
ahumada,,,2,1
aid,,,96,1
aide,,,10,1
aided,,,16,1
aides,,,6,1
aiding,,,2,1
aids,,,4,1
aiken,,,2,1
aileen,,,6,1
ailing,,,4,1
ailments,,,2,1
aim,,,20,1
aimed,,,10,1
aiming,,,7,1
aint,,,4,1
air,,,156,1
airborne,,,12,1
aircraft,,,10,1
aire,,,6,1
aired,,,2,1
airing,,,2,1
airline,,,4,1
airlines,,,6,1
airplane,,,8,1
airplanes,,,4,1
airport,,,18,1
airports,,,2,1
airwaves,,,2,1
airways,,,4,1
aisle,,,4,1
aissa,,,10,1
ajar,,,2,1
ajas,,,6,1
akane,,,2,1
akin,,,2,1
al,,,48,1
ala,,,2,1
alabama,,,4,1
alaina,,,10,1
alamogordo,,,4,1
alamos,,,2,1
alan,,,12,1
alanis,,,14,1
alaniz,,,8,1
alantis,,,2,1
alarcon,,,6,1
alarm,,,4,1
alarmed,,,4,1
alarming,,,4,1
alas,,,2,1
alaska,,,42,1
alaskan,,,2,1
alatorre,,,2,1
albany,,,8,1
albert,,,352,1
alberta,,,50,1
alberto,,,12,1
alborada,,,6,1
albrecht,,,2,1
albright,,,2,1
album,,,48,1
albums,,,6,1
alcada,,,2,1
alcantar,,,2,1
alcazar,,,8,1
alcohol,,,122,1
alcoholic,,,6,1
alcoholics,,,6,1
alderale,,,4,1
alderdale,,,4,1
alderwood,,,9478,1
alderwooders,,,2,1
alderwoodfood,,,4,1
alderwoodr,,,10,1
alderwoodrs,,,12,1
alderwoodschool,,,4,1
alderwoodtrip,,,4,1
